date,new_cases,new_deaths
2020-08-22T04:00:00Z,3,0
2020-08-23T04:00:00Z,2,0
2020-08-24T04:00:00Z,3,0
2020-08-25T04:00:00Z,1,0
2020-08-26T04:00:00Z,0,0
2020-08-27T04:00:00Z,0,0
2020-08-28T04:00:00Z,7,0
2020-08-29T04:00:00Z,2,0
2020-08-30T04:00:00Z,5,0
2020-08-31T04:00:00Z,2,0
2020-09-01T04:00:00Z,0,0
2020-09-02T04:00:00Z,3,0
2020-09-03T04:00:00Z,3,0
2020-09-04T04:00:00Z,1,0
2020-09-05T04:00:00Z,0,0
2020-09-06T04:00:00Z,0,0
